id,name
Q44585,Nobel Prize in Chemistry
Q47170,Prize in Economic Sciences in Memory of Alfred Nobel
Q37922,Nobel Prize in Literature
Q80061,Nobel Prize in Physiology or Medicine
Q35637,Nobel Peace Prize
Q38104,Nobel Prize in Physics
