name
Regius Professor of Chemistry
professor
member of the House of Lords
President of the Royal Society
docent
high commissioner for atomic energy
president
president of the Royal Society of Chemistry
university demonstrator
vice-chancellor
university teacher
vice president
senior advisor
board of directors member
deputy of the Supreme Soviet of the Soviet Union
director
Geheimrat
rector
undersecretary
Chancellor of Carleton University
Langworthy Professor
Director of Research at CNRS
Member of the Athens Academy
chairperson
Director of International Congress University
chief economist
Minister of Trade
member of the First Chamber
general secretary
substitute member of the Parliamentary Assembly of the Council of Europe
Representative of the Parliamentary Assembly of the Council of Europe
President of the Nordic Council
member of the Second Chamber
party leader
Cleveringa chair
Chair of the Council of Economic Advisers
Chief Economist of the World Bank
Chair of the Federal Reserve
Vocal of the Junta para Ampliación de Estudios e Investigaciones científicas
Member of the Congress during Sexenio Democrático
Minister of the Treasury of Spain
full professor
member of the Congress of Deputies
Minister of Development of Spain
seat 8 of the Swedish Academy
seat 11 of the Swedish Academy
member of the Senate of Spain
Permanent secretary of the French Foreign Affairs Ministry
seat 15 of the Swedish Academy
Swedish Academy permanent secretary
ambassador
Member of the Prussian House of Representatives
member of the Reichstag of the German Empire
Booker Prize judge
ambassador of Chile to France
senator of Chile
Seat 18 of the Académie française
chairman of PEN International
senator of Ireland
UNESCO Goodwill Ambassador
seat 7 of the Académie française
seat 24 of the Académie française
seat 38 of the Académie française
Capoulié of the Félibrige
member of the Chamber of Deputies of the Kingdom of Italy
senator of the Kingdom of Italy
seat 7 of the Swedish Academy
ambassador of Mexico to India
member of the École française de Rome
rector of the University of Jena
Robert F. Goheen Professor in the Humanities
ambassador of Guatemala to Mexico
ambassador of Guatemala to El Salvador
ambassador of Guatemala to France
Member of the Congress of Guatemala
President of the Jury at the Cannes Festival
First Lord of the Admiralty
member of the 40th Parliament of the United Kingdom
member of the 39th Parliament of the United Kingdom
member of the 38th Parliament of the United Kingdom
member of the 28th Parliament of the United Kingdom
member of the 27th Parliament of the United Kingdom
member of the 37th Parliament of the United Kingdom
member of the 36th Parliament of the United Kingdom
member of the 35th Parliament of the United Kingdom
member of the 34th Parliament of the United Kingdom
member of the 31st Parliament of the United Kingdom
member of the 30th Parliament of the United Kingdom
member of the 29th Parliament of the United Kingdom
Secretary of State for the Colonies
Home Secretary
colonel
Secretary of State for Defence
Leader of the Opposition
Leader of the House of Commons
Secretary of State for Air
Leader of the Conservative Party
Secretary of State for War
Lord Warden of the Cinque Ports
Minister of Munitions
Chancellor of the Exchequer
member of parliament
Chancellor of the Duchy of Lancaster
Prime Minister of the United Kingdom
member of the 42nd Parliament of the United Kingdom
member of the 41st Parliament of the United Kingdom
Member of the Privy Council of the United Kingdom
president of the Société des gens de lettres
seat 22 of the Académie française
Italian senator for life
member of the National Committee of the Chinese People's Political Consultative Conference
president of the French Academy of Sciences
rector of Utrecht University
chancellor
rector of the University of Basel
member of the National Assembly of Hungary
member of the Provisional National Assembly
member of the Hungarian upper chamber
regent
rector magnificus of Leiden University
Senator of Belgium
President of Rockefeller University
director of the California Institute of Technology
President of the American Association for Cancer Research
Minister of Foreign Affairs
Plan S Ambassador
Rector of the University of Edinburgh
psychologist
member of the Reichstag of the Weimar Republic
Minister of Foreign Affairs and Cooperation
President of East Timor
Prime Minister of East Timor
United Nations Secretary-General
United Nations Envoy to Syria
seat 17 of the Swedish Academy
Minister of Foreign Trade
secretary of state
member of the 32nd Parliament of the United Kingdom
Parliamentary Under-Secretary of State for Foreign Affairs
Lord Privy Seal
Leader of the Liberal Party of Canada
