start_id,relation,end_name
Peter Debye,IS_MEMBER_OF,Royal Society
Peter Debye,IS_MEMBER_OF,National Academy of Sciences
Peter Debye,IS_MEMBER_OF,Hungarian Academy of Sciences
Peter Debye,IS_MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Peter Debye,IS_MEMBER_OF,American Academy of Arts and Sciences
Peter Debye,IS_MEMBER_OF,Royal Prussian Academy of Sciences
Peter Debye,IS_MEMBER_OF,Saxon Academy of Sciences and Humanities
Peter Debye,IS_MEMBER_OF,Göttingen Academy of Sciences and Humanities in Lower Saxony
Peter Debye,IS_MEMBER_OF,German Academy of Sciences Leopoldina
Peter Debye,IS_MEMBER_OF,Heidelberg Academy for Sciences and Humanities
Peter Debye,IS_MEMBER_OF,Pontifical Academy of Sciences
Peter Debye,IS_MEMBER_OF,Bavarian Academy of Sciences and Humanities
Peter Debye,IS_MEMBER_OF,Indian National Science Academy
Peter Debye,IS_MEMBER_OF,Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten
Peter Debye,IS_MEMBER_OF,Academy of Sciences of the USSR
Paul Sabatier,RECEIVED,Q104575_1912
Q104575_1912,IS_INSTANCE_OF,Nobel Prize in Chemistry
Paul Sabatier,IS_CITIZEN_OF,France
Paul Sabatier,WORKS_AS,university teacher
Paul Sabatier,WORKS_AS,chemist
Paul Sabatier,WORKS_IN_FIELD,chemistry
Paul Sabatier,WORKS_IN_FIELD,inorganic chemistry
Paul Sabatier,WORKS_IN_FIELD,organic chemistry
Paul Sabatier,WORKS_IN_FIELD,catalysis
Paul Sabatier,EDUCATED_AT,École Normale Supérieure
Paul Sabatier,EDUCATED_AT,University of Toulouse (1896-1968)
Paul Sabatier,EDUCATED_AT,lycée Pierre-de-Fermat
Paul Sabatier,EMPLOYED_BY,University of Bordeaux
Paul Sabatier,EMPLOYED_BY,University of Toulouse (1896-1968)
Paul Sabatier,IS_MEMBER_OF,Société d'études scientifiques de l'Aude
Paul Sabatier,IS_MEMBER_OF,Consistori del Gay Saber
Paul Sabatier,IS_MEMBER_OF,Académie des sciences
Paul Sabatier,IS_MEMBER_OF,inscriptions et belles-lettres de Toulouse
Paul Sabatier,IS_MEMBER_OF,Romanian Academy
Paul Sabatier,IS_MEMBER_OF,Lincean Academy
Paul Sabatier,IS_MEMBER_OF,Royal Netherlands Academy of Arts and Sciences
Paul Sabatier,IS_MEMBER_OF,Royal Swedish Academy of Sciences
Paul Sabatier,IS_MEMBER_OF,National Academy of Sciences
Paul Sabatier,IS_MEMBER_OF,French Academy of Sciences
Paul Sabatier,IS_MEMBER_OF,Royal Society
Paul Sabatier,IS_MEMBER_OF,Royal Irish Academy
Victor Grignard,RECEIVED,Q104582_1912
Q104582_1912,IS_INSTANCE_OF,Nobel Prize in Chemistry
Victor Grignard,IS_CITIZEN_OF,France
Victor Grignard,WORKS_AS,university teacher
Victor Grignard,WORKS_AS,chemist
Victor Grignard,WORKS_IN_FIELD,chemistry
Victor Grignard,WORKS_IN_FIELD,organic chemistry
Victor Grignard,EDUCATED_AT,Faculté des Sciences de Lyon
Victor Grignard,EMPLOYED_BY,École supérieure de chimie physique électronique de Lyon
Victor Grignard,EMPLOYED_BY,Marie and Louis Pasteur University
Victor Grignard,EMPLOYED_BY,University of Lyon
Victor Grignard,EMPLOYED_BY,Université de Nancy
Victor Grignard,IS_MEMBER_OF,Romanian Academy
Victor Grignard,IS_MEMBER_OF,Académie des sciences
Victor Grignard,IS_MEMBER_OF,belles-lettres et arts de Lyon
Victor Grignard,IS_MEMBER_OF,French Academy of Sciences
Benjamin List,RECEIVED,Q105572_2021
Q105572_2021,IS_INSTANCE_OF,Nobel Prize in Chemistry
Benjamin List,IS_CITIZEN_OF,Germany
Benjamin List,WORKS_AS,university teacher
Benjamin List,WORKS_AS,chemist
Benjamin List,WORKS_AS,scientist
Benjamin List,WORKS_IN_FIELD,chemistry
Benjamin List,WORKS_IN_FIELD,organic chemistry
Benjamin List,WORKS_IN_FIELD,management of science and research
Benjamin List,EDUCATED_AT,Goethe University Frankfurt
Benjamin List,EDUCATED_AT,Freie Universität Berlin
Benjamin List,EMPLOYED_BY,University of Cologne
Benjamin List,EMPLOYED_BY,Max Planck Institute for Coal Research
Benjamin List,EMPLOYED_BY,Hokkaido University
Benjamin List,IS_MEMBER_OF,German Academy of Sciences Leopoldina
Ei-ichi Negishi,RECEIVED,Q105927_2010
Q105927_2010,IS_INSTANCE_OF,Nobel Prize in Chemistry
Ei-ichi Negishi,IS_CITIZEN_OF,United States
Ei-ichi Negishi,IS_CITIZEN_OF,Japan
Ei-ichi Negishi,WORKS_AS,researcher
Ei-ichi Negishi,WORKS_AS,chemist
Ei-ichi Negishi,WORKS_AS,professor
Ei-ichi Negishi,WORKS_IN_FIELD,organic chemistry
Ei-ichi Negishi,EDUCATED_AT,University of Tokyo
Ei-ichi Negishi,EDUCATED_AT,University of Pennsylvania
Ei-ichi Negishi,EMPLOYED_BY,Purdue University
Ei-ichi Negishi,EMPLOYED_BY,Syracuse University
Ei-ichi Negishi,EMPLOYED_BY,Hokkaido University
Ei-ichi Negishi,EMPLOYED_BY,Teijin
Ei-ichi Negishi,IS_MEMBER_OF,American Academy of Arts and Letters
Ei-ichi Negishi,IS_MEMBER_OF,American Academy of Arts and Sciences
Ei-ichi Negishi,IS_MEMBER_OF,National Academy of Sciences
Ei-ichi Negishi,IS_MEMBER_OF,American Association for the Advancement of Science
Wendell Meredith Stanley,RECEIVED,Q105937_1946
Q105937_1946,IS_INSTANCE_OF,Nobel Prize in Chemistry
Wendell Meredith Stanley,IS_CITIZEN_OF,United States
Wendell Meredith Stanley,WORKS_AS,virologist
Wendell Meredith Stanley,WORKS_AS,biochemist
Wendell Meredith Stanley,WORKS_AS,university teacher
Wendell Meredith Stanley,WORKS_AS,chemist
Wendell Meredith Stanley,WORKS_AS,writer
Wendell Meredith Stanley,WORKS_IN_FIELD,biochemistry
Wendell Meredith Stanley,WORKS_IN_FIELD,virology
Wendell Meredith Stanley,EDUCATED_AT,University of Illinois Urbana–Champaign
Wendell Meredith Stanley,EDUCATED_AT,Richmond High School
Wendell Meredith Stanley,EDUCATED_AT,Earlham College
Wendell Meredith Stanley,EMPLOYED_BY,Ludwig-Maximilians-Universität München
Wendell Meredith Stanley,EMPLOYED_BY,University of California
Wendell Meredith Stanley,EMPLOYED_BY,Berkeley
Wendell Meredith Stanley,EMPLOYED_BY,The Rockefeller University
Wendell Meredith Stanley,EMPLOYED_BY,University of Illinois system
Wendell Meredith Stanley,IS_MEMBER_OF,American Philosophical Society
Wendell Meredith Stanley,IS_MEMBER_OF,American Academy of Arts and Sciences
Wendell Meredith Stanley,IS_MEMBER_OF,National Academy of Sciences
Wendell Meredith Stanley,IS_MEMBER_OF,French Academy of Sciences
Wendell Meredith Stanley,HOLDS_POSITION,professor
Akira Suzuki,RECEIVED,Q105949_2010
Q105949_2010,IS_INSTANCE_OF,Nobel Prize in Chemistry
Akira Suzuki,IS_CITIZEN_OF,Japan
Akira Suzuki,WORKS_AS,chemist
Akira Suzuki,WORKS_AS,professor
Akira Suzuki,WORKS_IN_FIELD,chemistry
Akira Suzuki,EDUCATED_AT,Purdue University
Akira Suzuki,EDUCATED_AT,Hokkaido University
Akira Suzuki,EDUCATED_AT,Hokkaido Tomakomai Higashi High School
Akira Suzuki,EMPLOYED_BY,National Taiwan University
Akira Suzuki,EMPLOYED_BY,Purdue University
Akira Suzuki,EMPLOYED_BY,Hokkaido University
Akira Suzuki,EMPLOYED_BY,Academia Sinica
Akira Suzuki,EMPLOYED_BY,University of Wales
Akira Suzuki,EMPLOYED_BY,Okayama University of Science
Akira Suzuki,EMPLOYED_BY,Kurashiki University of Science and the Arts
Akira Suzuki,IS_MEMBER_OF,Japan Academy
John Howard Northrop,RECEIVED,Q106399_1946
Q106399_1946,IS_INSTANCE_OF,Nobel Prize in Chemistry
John Howard Northrop,IS_CITIZEN_OF,United States
John Howard Northrop,WORKS_AS,scientist
John Howard Northrop,WORKS_AS,biochemist
John Howard Northrop,WORKS_AS,university teacher
John Howard Northrop,WORKS_AS,chemist
John Howard Northrop,WORKS_IN_FIELD,biochemistry
John Howard Northrop,EDUCATED_AT,Columbia University
John Howard Northrop,EMPLOYED_BY,University of California
John Howard Northrop,EMPLOYED_BY,Berkeley
John Howard Northrop,EMPLOYED_BY,The Rockefeller University
John Howard Northrop,EMPLOYED_BY,Columbia University
John Howard Northrop,IS_MEMBER_OF,German Academy of Sciences Leopoldina
John Howard Northrop,IS_MEMBER_OF,American Academy of Arts and Sciences
John Howard Northrop,IS_MEMBER_OF,National Academy of Sciences
Richard F. Heck,RECEIVED,Q106471_2010
Q106471_2010,IS_INSTANCE_OF,Nobel Prize in Chemistry
Richard F. Heck,IS_CITIZEN_OF,United States
Richard F. Heck,WORKS_AS,researcher
Richard F. Heck,WORKS_AS,chemist
Richard F. Heck,WORKS_IN_FIELD,chemistry
Richard F. Heck,EDUCATED_AT,University of California
Richard F. Heck,EDUCATED_AT,Los Angeles
Richard F. Heck,EDUCATED_AT,University of Delaware
Richard F. Heck,EMPLOYED_BY,De La Salle University
Richard F. Heck,EMPLOYED_BY,University of Delaware
Ahmed Zewail,RECEIVED,Q106624_1999
Q106624_1999,IS_INSTANCE_OF,Nobel Prize in Chemistry
Ahmed Zewail,IS_CITIZEN_OF,Egypt
Ahmed Zewail,WORKS_AS,university teacher
Ahmed Zewail,WORKS_AS,chemist
Ahmed Zewail,WORKS_AS,inventor
Ahmed Zewail,WORKS_AS,physicist
Ahmed Zewail,WORKS_IN_FIELD,chemistry
Ahmed Zewail,EDUCATED_AT,University of Pennsylvania
Ahmed Zewail,EDUCATED_AT,Alexandria University
Ahmed Zewail,EMPLOYED_BY,California Institute of Technology
Ahmed Zewail,IS_MEMBER_OF,Pontifical Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,Indian National Science Academy
Ahmed Zewail,IS_MEMBER_OF,Chinese Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,Koninklijke Vlaamse Academie van België voor Wetenschappen en Kunsten
Ahmed Zewail,IS_MEMBER_OF,American Physical Society
Ahmed Zewail,IS_MEMBER_OF,American Philosophical Society
Ahmed Zewail,IS_MEMBER_OF,The World Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,American Academy of Arts and Sciences
Ahmed Zewail,IS_MEMBER_OF,National Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,French Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,Royal Swedish Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,Royal Society
Ahmed Zewail,IS_MEMBER_OF,Russian Academy of Sciences
Ahmed Zewail,IS_MEMBER_OF,American Association for the Advancement of Science
Martin Chalfie,RECEIVED,Q106699_2008
Q106699_2008,IS_INSTANCE_OF,Nobel Prize in Chemistry
Martin Chalfie,IS_CITIZEN_OF,United States
Martin Chalfie,WORKS_AS,neuroscientist
Martin Chalfie,WORKS_AS,university teacher
Martin Chalfie,WORKS_AS,biologist
Martin Chalfie,WORKS_AS,chemist
Martin Chalfie,WORKS_AS,professor
Martin Chalfie,WORKS_IN_FIELD,neurobiology
Martin Chalfie,EDUCATED_AT,Harvard University
Martin Chalfie,EDUCATED_AT,Columbia University
Martin Chalfie,EDUCATED_AT,Niles East High School
Martin Chalfie,EMPLOYED_BY,Columbia University
Martin Chalfie,IS_MEMBER_OF,American Academy of Arts and Sciences
Martin Chalfie,IS_MEMBER_OF,National Academy of Sciences
Martin Chalfie,IS_MEMBER_OF,Royal Society
Jerome Karle,RECEIVED,Q106733_1985
Q106733_1985,IS_INSTANCE_OF,Nobel Prize in Chemistry
Jerome Karle,IS_CITIZEN_OF,United States
Jerome Karle,WORKS_AS,crystallographer
Jerome Karle,WORKS_AS,university teacher
Jerome Karle,WORKS_AS,chemist
Jerome Karle,WORKS_IN_FIELD,physical chemistry
Jerome Karle,EDUCATED_AT,Harvard University
Jerome Karle,EDUCATED_AT,City College of New York
Jerome Karle,EDUCATED_AT,University of Michigan College of Literature
Jerome Karle,EDUCATED_AT,Science
Jerome Karle,EDUCATED_AT,and the Arts
Jerome Karle,EDUCATED_AT,Abraham Lincoln High School
Jerome Karle,EMPLOYED_BY,University of Chicago
Jerome Karle,IS_MEMBER_OF,American Physical Society
Jerome Karle,IS_MEMBER_OF,American Philosophical Society
Jerome Karle,IS_MEMBER_OF,American Academy of Arts and Sciences
Jerome Karle,IS_MEMBER_OF,National Academy of Sciences
John Fenn,RECEIVED,Q106738_2002
Q106738_2002,IS_INSTANCE_OF,Nobel Prize in Chemistry
John Fenn,IS_CITIZEN_OF,United States
John Fenn,WORKS_AS,university teacher
John Fenn,WORKS_AS,chemist
John Fenn,WORKS_IN_FIELD,chemistry
